"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 02 12:29:38 IST 2021","Tue Mar 02 12:29:51 IST 2021","12677","Suite","ANDROID","in.runner.Runner","in.runner.Runner","runScenarios","runScenarios",""
"passed","Tue Mar 02 12:30:26 IST 2021","Tue Mar 02 12:30:32 IST 2021","6239","Suite","ANDROID","in.runner.Runner","in.runner.Runner","runScenarios","runScenarios",""
